Player,PTS,STL,BLK,AST,TRB,gID
Paul Pierce,26,1,0,10,10,200311280BOS
Karl Malone,10,0,1,10,11,200311280LAL
Jason Kidd,16,1,0,11,10,200312050NJN
Brad Miller,18,2,2,10,15,200312070SAC
Kevin Garnett,35,2,2,10,10,200312180MIN
Jason Kidd,24,2,0,12,11,200312260DET
Jason Kidd,16,4,0,14,10,200312270IND
Antoine Walker,14,1,1,11,12,200401120NYK
Antoine Walker,11,0,0,13,17,200401140DAL
Andre Miller,24,4,1,10,10,200401260DEN
Kevin Garnett,20,1,3,10,20,200401280GSW
Ray Allen,18,1,0,10,10,200401280LAL
Jason Kidd,14,3,0,10,13,200402080NJN
Vlade Divac,14,0,3,11,11,200402170SAC
Jason Kidd,15,1,0,10,13,200402180NJN
Chauncey Billups,20,0,0,11,10,200402200DET
Gilbert Arenas,21,0,1,13,12,200402260WAS
Kobe Bryant,25,2,0,10,14,200402280WAS
Kirk Hinrich,11,1,0,10,12,200402280CHI
Gary Payton,23,0,0,10,10,200403020ATL
Lamar Odom,30,2,1,11,19,200403060MIA
Jason Kidd,13,3,0,13,10,200403120NJN
Gilbert Arenas,13,0,0,10,10,200403190WAS
Sam Cassell,14,1,0,11,10,200403230MIN
Bob Sura,12,2,0,12,11,200404090CHI
Bob Sura,15,0,0,11,10,200404100ATL
Steve Francis,18,3,1,12,10,200404190LAL
Chris Webber,19,1,2,12,13,200404200SAC
Kevin Garnett,20,1,3,10,22,200404210MIN
Jason Kidd,22,2,1,11,10,200405110NJN
Chris Webber,21,1,3,11,11,200411090SAC
Kobe Bryant,29,0,1,10,11,200411190PHO
Larry Hughes,33,1,1,10,10,200411280TOR
Kobe Bryant,10,2,0,10,12,200412030LAL
Kobe Bryant,20,2,0,11,14,200412080LAL
Kobe Bryant,36,2,1,14,10,200412170LAL
Dwyane Wade,31,1,1,10,10,200412300DET
Paul Pierce,19,1,2,10,10,200501030BOS
Jason Kidd,22,2,0,11,11,200501080ORL
Baron Davis,26,4,0,17,10,200501080NOH
Jason Kidd,10,2,0,11,10,200501150DAL
LeBron James,27,4,0,10,11,200501190POR
Mike Bibby,17,0,1,11,10,200501200SAC
LeBron James,28,1,1,10,12,200501220GSW
Paul Pierce,28,4,1,10,10,200502020BOS
Chris Webber,20,4,0,10,13,200502050POR
Jason Kidd,22,0,0,16,11,200502070NJN
Chris Webber,24,1,1,12,10,200502080SAC
Jason Kidd,28,0,0,12,12,200502090NJN
Chris Webber,14,0,1,12,17,200502130BOS
Jason Kidd,19,1,0,10,11,200502160NJN
Jason Kidd,14,5,1,10,10,200503130ORL
Andre Iguodala,10,4,0,10,10,200503230PHI
Steve Nash,12,0,0,12,13,200503300PHO
Damon Stoudamire,13,5,0,10,12,200504060POR
Jason Kidd,28,1,0,12,10,200504070NJN
Kobe Bryant,19,1,0,10,10,200504070LAL
LeBron James,40,2,1,10,10,200504090CLE
Kevin Garnett,21,1,1,11,15,200504130MIN
Damon Stoudamire,18,2,0,11,12,200504150GSW
Jason Kidd,11,4,0,16,10,200504170NJN
LeBron James,27,0,1,14,14,200504200TOR
Jason Kidd,16,3,0,13,16,200504280NJN
Steve Nash,34,1,0,12,13,200505180PHO
Chris Duhon,18,2,0,12,10,200511020CHI
Jason Kidd,10,3,0,11,11,200511050NJN
LeBron James,36,1,1,10,11,200511190PHI
LeBron James,32,5,1,11,11,200601040MIL
Dwyane Wade,19,0,0,10,10,200601040NOK
Jason Kidd,16,3,1,13,11,200601060NJN
Mike Miller,21,2,1,10,10,200601100MEM
Dwyane Wade,15,2,2,14,10,200601130SEA
Baron Davis,24,1,0,13,11,200601140GSW
Andrei Kirilenko,18,3,4,11,16,200601170UTA
Steve Francis,22,0,0,10,10,200601290ORL
Boris Diaw,14,0,1,13,11,200601310PHI
LeBron James,26,1,1,10,11,200602010CLE
Joe Johnson,15,1,1,11,10,200602010CHA
Vince Carter,28,0,0,10,13,200602040NJN
LeBron James,43,2,4,11,12,200602150BOS
Jason Kidd,12,2,0,13,12,200602210MIL
Jason Kidd,14,2,1,15,13,200603040NJN
Boris Diaw,24,0,0,10,10,200603050DAL
Paul Pierce,31,0,3,10,12,200603080BOS
Pau Gasol,21,4,3,12,12,200603080SEA
Jason Kidd,11,0,1,10,10,200603130HOU
LeBron James,37,0,1,12,11,200603220CLE
Andrei Kirilenko,15,3,10,3,14,200603250UTA
Charlie Bell,19,3,0,13,10,200603280MIL
Chris Paul,24,2,1,12,12,200604020TOR
Chris Paul,17,6,0,16,11,200604050NOK
Jason Kidd,13,3,0,12,10,200604060NJN
Jason Kidd,11,3,0,10,12,200604090MIL
Shaquille O'Neal,15,0,1,10,11,200604110MIA
Lamar Odom,15,0,1,10,13,200604110LAL
Boris Diaw,11,2,3,16,11,200604140GSW
Lamar Odom,16,1,0,12,12,200604140LAL
Boris Diaw,11,1,0,12,10,200604160LAL
Steve Nash,16,2,0,12,10,200604190POR
LeBron James,32,0,0,11,11,200604220CLE
LeBron James,21,4,1,10,10,200605130CLE
Jason Kidd,17,0,0,12,13,200605140NJN
Jason Kidd,14,0,0,10,10,200611010NJN
Ryan Gomes,10,0,1,10,12,200611080BOS
Jason Kidd,15,4,0,18,11,200611120WAS
Andre Iguodala,18,3,0,10,16,200611220MIL
Chris Paul,25,5,1,18,11,200612010NOK
Jason Kidd,38,1,0,14,14,200612070NJN
Jason Kidd,12,3,0,13,10,200612110NJN
Jason Kidd,10,3,1,10,10,200612130NJN
Boris Diaw,21,1,1,10,14,200612150PHO
Jason Kidd,10,2,0,12,11,200612180NJN
Mo Williams,19,0,0,10,11,200612200MIL
John Salmons,21,1,1,10,11,200612220DEN
Jason Kidd,23,2,0,11,14,200701110CHI
LeBron James,30,2,0,10,10,200701190DEN
Jason Kidd,18,1,0,10,10,200701220SAC
Pau Gasol,17,1,2,12,13,200701240UTA
Andre Miller,12,1,0,13,12,200701260PHI
Andre Iguodala,25,3,1,13,10,200702020PHI
Carmelo Anthony,31,0,0,10,10,200702050DEN
Kevin Garnett,17,1,1,10,15,200702070MIN
Kevin Garnett,26,0,0,10,11,200702110MIN
Jason Kidd,22,0,0,10,13,200702230NJN
Kevin Garnett,33,2,3,10,13,200703040BOS
Jason Kidd,11,3,0,14,14,200703040PHI
Andre Iguodala,25,0,0,10,11,200703070PHI
Lamar Odom,17,0,0,12,14,200704030LAL
Vince Carter,46,1,3,10,16,200704070NJN
Jason Kidd,10,4,0,18,16,200704070NJN
Brad Miller,17,2,1,11,10,200704100MEM
Jason Kidd,13,0,0,11,14,200704130NJN
Vince Carter,29,2,0,10,12,200704160NYK
Baron Davis,12,3,0,14,10,200704180POR
Jason Kidd,16,3,1,19,16,200704270NJN
Jason Kidd,23,1,0,14,13,200705120NJN
Jason Kidd,16,3,1,10,14,200711030PHI
LeBron James,32,3,2,13,15,200711070UTA
LeBron James,39,0,2,14,13,200711140CLE
Jason Kidd,11,2,0,10,19,200711160NJN
Jason Kidd,12,1,0,13,11,200711210POR
Caron Butler,26,2,0,10,11,200711230WAS
Baron Davis,33,0,0,15,11,200711230WAS
LeBron James,37,3,1,12,12,200711240CLE
LeBron James,30,4,1,10,11,200711250IND
Jason Kidd,12,0,0,12,15,200711270NJN
Andrei Kirilenko,20,6,4,11,11,200711300UTA
Tracy McGrady,17,2,2,12,10,200712050HOU
Jason Kidd,13,1,0,13,10,200712090WAS
Jason Kidd,11,2,0,11,10,200712110NJN
Kirk Hinrich,15,2,3,14,12,200712140CHI
Caron Butler,29,3,0,10,11,200712190WAS
Jason Kidd,15,1,0,12,11,200712220NJN
Marcus Camby,10,2,10,5,11,200712260DEN
Jason Kidd,11,3,1,12,10,200801040NJN
Jason Kidd,10,3,0,14,13,200801050ATL
Jason Kidd,13,1,1,12,11,200801080CHA
Josh Smith,22,3,5,10,12,200801230DEN
Baron Davis,25,5,0,10,12,200801240GSW
Jason Kidd,13,2,2,10,11,200801250DEN
Brandon Roy,20,1,0,11,10,200802010POR
Hedo Türkoğlu,13,0,0,13,12,200802040ORL
Dirk Nowitzki,29,0,1,12,10,200802060DAL
Earl Watson,23,2,1,10,10,200802060SAC
Jason Kidd,19,0,2,13,11,200802080CHA
Lamar Odom,10,1,0,10,16,200802130MIN
Carlos Boozer,22,5,0,10,11,200802130SEA
LeBron James,26,2,0,11,13,200802190CLE
LeBron James,31,2,1,12,14,200802200IND
LeBron James,24,1,2,11,10,200803100CLE
Hedo Türkoğlu,23,0,0,13,10,200803100ORL
Marcus Camby,13,1,4,10,15,200803160DEN
Caron Butler,17,2,1,12,12,200803300LAL
Chris Paul,16,5,0,13,10,200804060NOH
Baron Davis,20,1,1,11,10,200804100GSW
Jason Kidd,27,0,0,10,10,200804160DAL
Chris Paul,24,2,0,15,11,200804290NOH
LeBron James,27,2,1,13,13,200805020WAS
Tim Duncan,19,0,1,10,15,200805290LAL
Jason Kidd,16,4,1,10,11,200811110DAL
Dwight Howard,30,0,10,3,19,200811120OKC
Chris Paul,29,3,1,16,10,200811220NOH
Chris Paul,14,1,1,17,10,200811240LAC
Rajon Rondo,16,3,0,17,13,200812030BOS
Tracy McGrady,20,1,3,10,14,200812160HOU
Andre Miller,14,1,0,12,10,200812200PHI
Joe Johnson,20,1,1,11,11,200812230ATL
Chris Paul,15,1,0,16,10,200812300NOH
LeBron James,16,2,3,11,10,200901020CLE
LeBron James,30,3,1,10,11,200901130MEM
Chris Paul,33,7,0,11,10,200901140DAL
Kobe Bryant,28,2,0,11,13,200901160LAL
Kobe Bryant,18,1,0,12,10,200901210LAC
Chris Paul,27,7,1,15,10,200901260NOH
LeBron James,23,0,3,11,15,200901270CLE
Vince Carter,15,0,0,12,10,200902030NJN
Stephen Jackson,30,2,1,10,11,200902040GSW
Rajon Rondo,19,1,0,14,15,200902120DAL
Pau Gasol,12,0,2,10,13,200902170LAL
Russell Westbrook,17,2,1,10,10,200903020OKC
LeBron James,14,1,1,12,10,200903070CLE
LeBron James,32,2,2,11,13,200903100LAC
Chris Paul,30,4,0,13,10,200903110WAS
LeBron James,34,3,3,13,10,200903120PHO
Jason Kidd,21,2,0,11,10,200903130GSW
LeBron James,26,1,2,10,11,200903190CLE
Ramon Sessions,16,2,0,16,10,200904010MIL
Andre Miller,21,2,0,12,10,200904040PHI
Jason Kidd,11,0,0,12,10,200904150DAL
Rajon Rondo,19,5,0,16,12,200904200BOS
Rajon Rondo,25,2,0,11,11,200904260CHI
Rajon Rondo,15,2,0,18,11,200905060BOS
LeBron James,37,1,1,12,14,200905280CLE
LeBron James,23,2,0,12,11,200910280TOR
Rafer Alston,17,0,0,10,10,200911130ORL
Gilbert Arenas,22,2,0,11,10,200912120WAS
LeBron James,34,0,0,10,16,200912230SAC
Chris Paul,16,2,2,10,11,200912290HOU
Rajon Rondo,22,4,0,13,10,201001100TOR
Baron Davis,27,5,1,12,12,201001120MEM
Josh Smith,18,2,1,10,14,201002050ATL
Stephen Curry,36,3,0,13,10,201002100GSW
LeBron James,43,2,4,15,13,201002180CLE
Darren Collison,18,3,1,12,13,201002190NOH
Russell Westbrook,22,2,0,14,10,201002210MIN
Jason Kidd,19,2,0,17,16,201002260ATL
Tyreke Evans,19,0,0,10,10,201003100SAC
LeBron James,29,1,1,12,12,201003160DET
Rajon Rondo,11,4,0,15,11,201003240BOS
Beno Udrih,18,2,0,15,10,201003280CLE
Dirk Nowitzki,34,0,1,10,10,201003290DAL
David Lee,37,0,1,10,20,201004020GSW
Terrence Williams,27,1,0,10,13,201004090NJN
Jason Kidd,11,2,0,13,10,201004100SAC
Trevor Ariza,26,0,2,10,10,201004140HOU
Steve Blake,23,2,0,11,10,201004140LAC
LeBron James,37,2,1,11,12,201004250CHI
Rajon Rondo,29,2,0,13,18,201005090BOS
LeBron James,27,3,1,10,19,201005130BOS
Rajon Rondo,19,2,1,10,12,201006060LAL
Rajon Rondo,10,1,0,24,10,201010290BOS
Brandon Jennings,20,0,0,10,10,201010300MIL
Kobe Bryant,30,1,0,12,10,201011030SAC
Pau Gasol,20,3,0,10,14,201011070LAL
LeBron James,20,1,3,14,11,201011090MIA
John Wall,19,6,1,13,10,201011100WAS
Stephen Jackson,24,2,2,10,10,201011200CHA
Josh Smith,12,3,2,10,13,201011280TOR
Tim Duncan,15,0,2,11,18,201011300GSW
LeBron James,32,1,0,10,11,201012170NYK
Paul Pierce,18,4,1,12,10,201012190BOS
LeBron James,27,4,0,10,11,201012250LAL
Jason Kidd,12,2,2,13,10,201012300DAL
Russell Westbrook,23,2,0,10,10,201012310OKC
Hedo Türkoğlu,10,5,0,10,14,201101030ORL
Rajon Rondo,12,6,1,23,10,201101050BOS
Raymond Felton,23,1,0,11,10,201101070PHO
Russell Westbrook,32,1,2,13,10,201101130OKC
Derrick Rose,22,1,1,12,10,201101170MEM
Boris Diaw,25,1,2,11,11,201101170PHI
Russell Westbrook,35,0,2,13,13,201101280OKC
Jrue Holiday,11,0,0,11,10,201102020NJN
Dwyane Wade,22,0,0,10,12,201102040CHA
Rajon Rondo,11,0,0,10,10,201102130BOS
Andre Iguodala,13,4,0,10,12,201102160HOU
Jason Kidd,13,3,0,13,10,201103010PHI
Andre Iguodala,22,1,1,13,10,201103040PHI
Andre Iguodala,15,3,1,10,11,201103060PHI
JaVale McGee,11,0,12,1,12,201103150CHI
Kyle Lowry,28,3,0,10,11,201103200HOU
Chuck Hayes,13,2,0,11,14,201103230HOU
Blake Griffin,33,1,1,10,17,201103230LAC
LeBron James,27,0,0,12,10,201103290CLE
Jordan Crawford,21,0,2,11,10,201104010WAS
Drew Gooden,15,0,2,13,13,201104090MIL
Goran Dragić,11,0,1,11,11,201104130MIN
Blake Griffin,31,1,1,10,10,201104130LAC
Rajon Rondo,15,2,0,20,11,201104220NYK
Chris Paul,27,2,0,15,13,201104240NOH
Russell Westbrook,14,0,1,14,10,201105150OKC
LeBron James,17,0,1,10,10,201106090DAL
Rajon Rondo,18,1,0,14,11,201201010WAS
Kyle Lowry,16,3,0,10,10,201201230MIN
Kemba Walker,20,1,2,11,10,201201280CHA
Andre Iguodala,10,1,0,10,10,201201280PHI
David Lee,25,0,1,10,11,201202070GSW
Rajon Rondo,32,2,0,15,10,201202120BOS
Serge Ibaka,14,1,11,0,15,201202190OKC
Joakim Noah,13,0,1,10,13,201202220CHI
Rajon Rondo,15,0,0,10,11,201202290BOS
Rajon Rondo,18,1,1,20,17,201203040BOS
Drew Gooden,15,1,2,13,10,201203140MIL
Jarrett Jack,17,0,0,11,10,201203210NOH
J.J. Barea,25,3,0,14,10,201203230OKC
Rajon Rondo,16,0,0,14,11,201204010BOS
Rajon Rondo,10,2,0,20,10,201204110BOS
Carmelo Anthony,35,2,0,10,12,201204170NYK
Pau Gasol,22,0,3,11,11,201204180GSW
Ben Uzoh,12,4,1,12,11,201204260TOR
Andrew Bynum,10,1,10,0,13,201204290LAL
Rajon Rondo,17,4,0,12,14,201205040BOS
Rajon Rondo,13,4,0,17,12,201205120BOS
Rajon Rondo,18,3,0,10,10,201205260BOS
Rajon Rondo,22,1,0,14,10,201206090MIA
LeBron James,26,1,2,13,11,201206210MIA
Greg Monroe,21,1,0,11,12,201211070SAC
José Calderón,13,0,0,10,10,201211130IND
Kevin Durant,25,2,0,10,13,201211180OKC
Kobe Bryant,22,3,0,11,11,201211180LAL
Roy Hibbert,10,2,11,1,11,201211210IND
Larry Sanders,10,1,10,1,12,201211300MIN
LeBron James,26,3,2,11,13,201212040WAS
Rajon Rondo,16,3,3,14,13,201212070PHI
Tony Parker,27,0,0,12,12,201212100HOU
José Calderón,18,1,1,14,10,201212160TOR
Jordan Crawford,27,0,0,11,11,201212180WAS
Joakim Noah,11,1,3,10,13,201212180CHI
David Lee,23,0,0,11,11,201212210GSW
DeMarcus Cousins,12,1,0,10,10,201212300SAC
Jrue Holiday,16,2,2,10,10,201301020PHO
Rajon Rondo,14,3,0,10,11,201301050ATL
David West,14,1,0,10,12,201301120IND
Rajon Rondo,17,0,0,12,10,201301140BOS
Nicolas Batum,12,3,2,11,10,201301210POR
LeBron James,31,0,0,11,10,201301230MIA
Rajon Rondo,23,3,0,11,10,201301240BOS
Rajon Rondo,16,1,0,11,10,201301250ATL
Nicolas Batum,20,1,1,12,10,201301260POR
Paul Pierce,17,1,1,10,13,201301270BOS
James Harden,21,1,1,11,11,201302020HOU
Greivis Vásquez,21,1,0,12,11,201302080ATL
Paul Pierce,27,0,0,14,14,201302100BOS
Paul George,23,2,0,12,12,201302130IND
Kevin Durant,16,2,1,11,12,201302200HOU
LeBron James,16,2,0,11,10,201302230PHI
Kevin Durant,18,0,0,10,11,201302270OKC
Joakim Noah,23,3,11,1,21,201302280CHI
Kyle Lowry,10,5,0,10,10,201303020MIL
Blake Griffin,23,1,1,11,11,201303060LAC
Ricky Rubio,21,0,1,12,13,201303120MIN
LeBron James,25,3,2,10,12,201303200CLE
Paul Pierce,20,1,1,10,10,201303290BOS
Russell Westbrook,23,3,1,10,13,201303300MIL
Kobe Bryant,23,4,2,11,11,201304020LAL
Andre Iguodala,12,3,0,10,13,201304100DEN
Pau Gasol,26,0,0,10,11,201304120LAL
Pau Gasol,17,0,2,11,20,201304170LAL
Paul George,23,1,1,12,11,201304210IND
Pau Gasol,11,0,0,10,13,201304260LAL
LeBron James,30,0,3,10,10,201305220MIA
LeBron James,18,0,0,10,18,201306060MIA
LeBron James,32,3,1,11,10,201306180MIA
Nicolas Batum,11,0,1,11,12,201311020POR
Stephen Curry,18,5,1,12,10,201311040PHI
Ricky Rubio,12,5,0,14,10,201311100LAL
Lance Stephenson,13,0,0,12,11,201311110IND
Tony Wroten,18,0,1,11,10,201311130PHI
Lance Stephenson,10,4,0,10,11,201311220BOS
Jordan Crawford,11,1,0,10,11,201311290BOS
Kevin Durant,32,4,4,12,10,201312010OKC
Michael Carter-Williams,27,3,0,10,12,201312030PHI
Victor Oladipo,26,3,0,10,10,201312030PHI
Tyreke Evans,11,0,1,10,13,201312180LAC
Lance Stephenson,12,1,0,10,10,201312220IND
Russell Westbrook,14,1,1,10,13,201312250NYK
Stephen Curry,14,1,0,16,13,201312270GSW
Nicolas Batum,14,1,1,14,10,201401080POR
John Wall,28,3,0,10,11,201401220WAS
Kyle Lowry,18,0,0,13,10,201401240PHI
Kevin Durant,32,2,1,10,14,201401250PHI
Lance Stephenson,14,0,0,10,10,201401300IND
Jeremy Lin,15,2,1,10,11,201402010HOU
Steve Blake,11,3,0,15,10,201402050CLE
Joakim Noah,19,0,3,11,16,201402110CHI
Kevin Love,37,1,0,10,12,201402220UTA
Kyrie Irving,21,0,1,12,10,201402280CLE
Stephen Curry,27,0,1,11,11,201402280NYK
Joakim Noah,13,2,2,14,12,201403020CHI
Russell Westbrook,13,3,0,14,10,201403040OKC
Joakim Noah,10,0,2,11,11,201403050DET
Kevin Durant,27,0,0,12,10,201403090LAL
Kyle Lowry,20,2,0,11,12,201403090MIN
Michael Carter-Williams,23,2,0,10,13,201403100NYK
Paul Millsap,19,1,0,10,13,201403180ATL
Isaiah Thomas,24,0,1,10,11,201403180SAC
Ricky Rubio,22,4,1,15,10,201403190DAL
Paul George,10,1,0,10,12,201403210IND
James Harden,26,1,0,10,10,201403270HOU
LeBron James,17,1,0,12,10,201403280DET
Kevin Love,22,1,0,10,10,201403280MIN
Kevin Love,24,1,1,10,16,201404020MIN
Blake Griffin,25,1,1,11,10,201404030LAC
Kemba Walker,13,1,0,10,10,201404040CHA
Rajon Rondo,11,0,0,16,11,201404040BOS
John Wall,14,0,0,11,12,201404090WAS
Joakim Noah,15,1,2,10,13,201404090MIN
Stephen Curry,30,2,0,12,10,201404110LAL
Lance Stephenson,17,0,1,11,10,201404130IND
Russell Westbrook,30,1,1,13,10,201404290OKC
Russell Westbrook,27,2,1,16,10,201405030OKC
Russell Westbrook,31,3,0,10,10,201405070OKC
Chris Paul,13,2,1,12,10,201411030LAC
Rajon Rondo,13,0,0,15,10,201411050BOS
Kyle Lowry,13,1,0,10,11,201411070TOR
Michael Carter-Williams,18,1,0,16,10,201411290PHI
Kobe Bryant,31,0,1,12,11,201411300LAL
Tim Duncan,14,0,2,10,10,201412050MEM
Rajon Rondo,13,3,0,11,13,201412070BOS
Eric Bledsoe,27,2,2,16,11,201412080LAC
Rajon Rondo,12,1,0,10,10,201412100CHO
Michael Carter-Williams,16,0,0,11,11,201412130PHI
James Harden,24,1,2,10,10,201412130HOU
Eric Bledsoe,16,3,0,11,10,201412230PHO
Kobe Bryant,23,2,1,11,11,201412300DEN
Draymond Green,16,2,2,13,11,201501020GSW
Al Horford,21,0,1,10,10,201501130PHI
Russell Westbrook,17,4,0,16,15,201501160OKC
Hassan Whiteside,14,0,12,0,13,201501250CHI
Michael Carter-Williams,17,1,1,10,10,201501300PHI
Russell Westbrook,25,4,1,14,11,201502020OKC
Tyreke Evans,22,1,1,16,10,201502060OKC
James Harden,31,1,4,10,11,201502230HOU
Russell Westbrook,20,1,0,10,11,201502240OKC
Evan Turner,10,0,0,10,12,201502250BOS
Russell Westbrook,39,3,0,11,14,201502260PHO
George Hill,15,2,1,12,10,201502270IND
Russell Westbrook,40,1,0,11,13,201502270POR
Ricky Rubio,18,1,0,11,12,201503020MIN
Russell Westbrook,49,3,1,10,15,201503040OKC
James Harden,38,1,0,12,12,201503060HOU
Russell Westbrook,30,4,1,17,11,201503080OKC
Russell Westbrook,29,2,0,12,10,201503130OKC
Kyle Lowry,20,3,0,10,11,201503160IND
Reggie Jackson,11,0,0,10,11,201503180PHI
Elfrid Payton,15,2,0,12,10,201503180DAL
Elfrid Payton,22,4,0,10,10,201503200ORL
Russell Westbrook,36,1,0,14,10,201503200OKC
Evan Turner,19,0,1,12,10,201503230BRK
Reggie Jackson,26,1,0,10,11,201503270ORL
Evan Turner,13,0,0,12,11,201504010BOS
DeMarcus Cousins,24,3,6,10,21,201504010HOU
Russell Westbrook,31,1,0,11,11,201504010OKC
DeMarcus Cousins,24,1,3,13,20,201504030SAC
Russell Westbrook,40,0,0,13,11,201504050OKC
LeBron James,20,3,1,12,10,201504050CLE
LeBron James,21,2,1,11,10,201504130CLE
James Harden,16,1,1,10,11,201504150HOU
Blake Griffin,29,1,1,11,12,201504220LAC
Blake Griffin,24,0,0,10,13,201505020LAC
Blake Griffin,26,1,0,13,14,201505040HOU
James Harden,26,0,0,10,11,201505120HOU
LeBron James,37,3,0,13,18,201505240CLE
LeBron James,39,1,1,11,16,201506070GSW
LeBron James,40,1,0,11,14,201506140GSW
Draymond Green,16,3,1,10,11,201506160CLE
Victor Oladipo,21,3,1,10,13,201510300ORL
Rajon Rondo,14,4,0,15,12,201511070SAC
Russell Westbrook,22,1,0,11,11,201511100WAS
Rajon Rondo,14,3,0,15,11,201511110SAC
Russell Westbrook,21,3,0,11,17,201511130OKC
Rajon Rondo,23,2,0,14,10,201511130SAC
Draymond Green,16,2,4,12,10,201511140GSW
Brandon Knight,30,4,0,15,10,201511160PHO
Hassan Whiteside,22,0,10,0,14,201511170MIA
Rajon Rondo,12,1,0,10,12,201511180ATL
Marc Gasol,16,4,0,11,11,201511200MEM
Draymond Green,14,1,2,10,10,201511270PHO
Draymond Green,13,1,4,12,11,201511280GSW
Russell Westbrook,19,3,0,10,11,201512060OKC
Nicolas Batum,10,1,1,11,11,201512090CHO
Kevin Durant,25,1,0,10,12,201512100OKC
Raymond Felton,10,1,0,11,11,201512120DAL
Draymond Green,16,5,1,10,11,201512160GSW
Stephen Curry,23,2,0,10,14,201512280GSW
Draymond Green,10,2,2,16,11,201512310HOU
Draymond Green,29,4,1,14,17,201601020GSW
Draymond Green,13,1,2,10,15,201601040GSW
Draymond Green,11,0,1,10,13,201601080POR
Russell Westbrook,12,2,0,10,11,201601150OKC
Marcus Smart,10,2,2,11,11,201601150BOS
Hassan Whiteside,19,1,11,2,17,201601150DEN
Russell Westbrook,13,2,0,15,10,201601170OKC
James Harden,33,1,0,14,17,201601200HOU
Stephen Curry,39,1,0,12,10,201601220GSW
Rajon Rondo,11,2,1,10,10,201601230SAC
James Harden,23,0,2,10,15,201601240HOU
Russell Westbrook,26,1,1,14,10,201601290OKC
Draymond Green,20,2,2,10,10,201601310NYK
Russell Westbrook,17,1,0,11,13,201602010OKC
Russell Westbrook,24,2,0,14,19,201602030OKC
Draymond Green,12,1,5,12,10,201602030WAS
Hassan Whiteside,10,0,10,0,10,201602050CHO
John Wall,18,2,1,10,13,201602050WAS
DeMarcus Cousins,24,2,0,10,10,201602050BRK
LeBron James,21,2,1,10,10,201602080CLE
Draymond Green,18,0,0,10,11,201602200LAC
Kyle Lowry,22,0,0,11,11,201602220NYK
Giannis Antetokounmpo,27,3,4,10,12,201602220MIL
John Wall,16,2,1,11,12,201602230WAS
Pau Gasol,22,1,3,14,16,201602270CHI
Giannis Antetokounmpo,18,4,2,11,16,201602290MIL
Russell Westbrook,20,3,0,15,13,201602290SAC
Giannis Antetokounmpo,26,3,4,10,12,201603060MIL
Russell Westbrook,15,1,1,11,10,201603060MIL
Pau Gasol,12,1,5,13,17,201603070CHI
Russell Westbrook,25,2,1,19,11,201603090OKC
Matt Barnes,26,2,0,10,11,201603110MEM
Giannis Antetokounmpo,28,4,2,14,11,201603130BRK
Russell Westbrook,17,2,1,16,10,201603140OKC
John Wall,29,3,1,12,10,201603160WAS
John Wall,16,2,0,14,13,201603170PHI
Russell Westbrook,20,1,2,10,15,201603180PHI
Russell Westbrook,14,1,0,14,11,201603190IND
Zach Randolph,28,0,0,10,11,201603190MEM
LeBron James,33,0,0,11,11,201603210CLE
Russell Westbrook,21,1,0,15,12,201603220OKC
Elfrid Payton,20,1,0,10,10,201603230DET
